7486,Howard Cardenas,Secretary,7876960168,howard.cardenas@upr.edu,1992-05-30,1521,66,4903,2267
6376,Gertrude Hansen,Director,7873334788,gertrude.hansen@upr.edu,1993-11-08,66,2267,9639
4903,Bonny Mongelli,Dean,7873153036,bonny.mongelli@upr.edu,1988-07-02,914
3647,Elizabeth Briggs,Instructor,7873213733,elizabeth.briggs@upr.edu,1989-04-16,4903,914
5824,Justin Mello,Professor,7877412375,justin.mello@upr.edu,1991-01-27,4903,66
66,Lorenzo Cunningham,Dean,7877156418,lorenzo.cunningham@upr.edu,1984-04-08,914,2267,4903,6376
1521,Anna Williams,Director,7877534682,anna.williams@upr.edu,1989-11-04,7486
2267,Brenda Golding,Instructor,7874163519,brenda.golding@upr.edu,1989-06-02,4903,6376,66
9639,Carole Skidmore,Director,7871338694,carole.skidmore@upr.edu,1990-04-16,3647
914,Diana Woodward,Professor,7877416277,diana.woodward@upr.edu,1986-08-01,2267,6376
711,Daniel Brooks,Professor,7878896352,daniel.brooks@upr.edu,1972-04-17,
